globalid;address;parentglobalid
44287322;300904, Тульская обл, Тула г., Энергетиков проезд, дом 10;6159711
44292851;300904, Тульская обл, Тула г., Энергетиков проезд, дом 4;6159711
44290863;300041, Тульская обл, Тула г., Пушкинская ул., дом 27;6286802
44289049;300041, Тульская обл, Тула г., Пушкинский проезд, дом 3б;6187044
44301877;397531, Воронежская обл, Бутурлиновский р-н, Козловка с., Красная Углянка ул., дом 54;5458300
;397531, Воронежская обл, Бутурлиновский р-н, Козловка с., Красная Углянка ул., дом 166;5458300
44159395;397166, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Станичная ул., дом 14;5762281
44291724;300041, Тульская обл, Тула г., Пушкинская ул., дом 55;6286802
44287699;241517, Брянская обл, Брянский р-н, Дубровка д., Лесная ул., дом 2б;6253819
43926576;397171, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Советская ул., дом 84А;5577193
44292130;303031, Орловская обл, Мценск г., Машиностроителей ул., дом 19;5904842
43938398;397171, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Цветочный пер., дом 4;6075314
44186141;397166, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Станичная ул., дом 6;5762281
44299705;303030, Орловская обл, Мценск г., Карла Маркса ул., дом 63а;5876785
44307342;156535, Костромская обл, Костромской р-н, Лежнево д., дом 34б;5313711
44097036;243140, Брянская обл, Клинцы г., Ленина пр-кт, домовладение 45;6174575
43965775;397171, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Аэродромная ул., владение 31А;5620436
44287212;397166, Воронежская обл, Борисоглебский р-н, Борисоглебск г., Станичная ул., владение 13;5762281
4630150;397691, Воронежская обл, Петропавловский р-н, Красноселовка с., Набережная ул., дом 4;5480104
15133376;242610, Брянская обл, Фокино г., Кирова ул., дом 34;6076106
13487419;397350, Воронежская обл, Поворинский р-н, Поворино г., Докучаева пер., дом 4;5975882
26007585;243240, Брянская обл, Стародуб г., Пионерская ул., дом 16;5719574
44354179;307220, Курская обл, Курчатовский р-н, Иванино пгт., Мичурина ул., дом 19А;5544817
6485112;243240, Брянская обл, Стародуб г., 60 лет Октября ул., дом 16;5534256
43920866;397355, Воронежская обл, Поворинский р-н, Поворино г., Кирова ул., дом 109;5705359
25327265;397340, Воронежская обл, Поворинский р-н, Пески с., Ленинская ул., дом 54;5667167
44354755;242440, Брянская обл, Севский р-н, Севск г., Энгельса ул., дом 59;5789875
25480333;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Айдаровская ул., дом 32;5684797
33646401;396651, Воронежская обл, Россошанский р-н, Россошь г., Кооперативная ул., дом 50;6246673
31573795;397350, Воронежская обл, Поворинский р-н, Поворино г., Свободы ул., дом 10;6075366
13195233;396653, Воронежская обл, Россошанский р-н, Россошь г., Лесной пер., дом 7;5947297
10464430;243240, Брянская обл, Стародуб г., Комарова ул., дом 40;5776307
10642912;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Советская ул., дом 20;5800584
787381;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Зеленая ул., дом 17;5642216
24866382;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Октябрьская ул., дом 11;5643964
9090613;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Фурманова ул., дом 11;5700936
34515636;397355, Воронежская обл, Поворинский р-н, Поворино г., Первомайская ул., дом 57;6161803
10482733;243240, Брянская обл, Стародуб г., Комарова ул., дом 60;5776307
34723954;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Пятницкого ул., дом 15;6185162
23446743;397317, Воронежская обл, Поворинский р-н, Вихляевка с., Пролетарская ул., дом 17;5554177
33800531;396651, Воронежская обл, Россошанский р-н, Россошь г., Крупской ул., дом 40;6261032
36374279;242611, Брянская обл, Фокино г., Чапаева ул., дом 87;5463942
8504755;396650, Воронежская обл, Россошанский р-н, Россошь г., Куйбышева ул., дом 51;5662977
25313236;397340, Воронежская обл, Поворинский р-н, Пески с., Ленинская ул., дом 29;5667167
17588592;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Есенина ул., дом 13-б;6241052
31409733;396655, Воронежская обл, Россошанский р-н, Россошь г., Космонавтов ул., дом 2;6061433
735161;243240, Брянская обл, Стародуб г., Совхозная ул., дом 49А;5448861
9699695;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Горького ул., дом 41;5743669
16409843;396660, Воронежская обл, Россошанский р-н, Россошь г., Кутузова ул., дом 5;6161240
33557011;396651, Воронежская обл, Россошанский р-н, Россошь г., Кооперативная ул., дом 80;6246673
9318707;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Солнечная ул., дом 12;5713510
843643;397350, Воронежская обл, Поворинский р-н, Поворино г., Крупской ул., дом 20;5876310
24213962;249165, Калужская обл, Жуковский р-н, Тарутино с., Нарская ул., владение 2;5593038
4747934;397354, Воронежская обл, Поворинский р-н, Поворино г., Мичурина ул., дом 99;5492148
14656290;396388, Воронежская обл, Репьевский р-н, Россошки с., 1 Мая ул., дом 20;6049118
15322439;396659, Воронежская обл, Россошанский р-н, Россошь г., Карла Маркса ул., дом 58;6090305
13768313;397317, Воронежская обл, Поворинский р-н, Вихляевка с., Советская ул., дом 6;5995674
26083646;243240, Брянская обл, Стародуб г., Дачная ул., дом 6;5719572
938726;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Мира ул., дом 40;6283506
23536034;397317, Воронежская обл, Поворинский р-н, Вихляевка с., Пролетарская ул., дом 37;5554177
909802;396660, Воронежская обл, Россошанский р-н, Россошь г., Кутузова ул., дом 21;6161240
13003477;396651, Воронежская обл, Россошанский р-н, Россошь г., Танкистов пл., дом 6;5933532
23517271;397317, Воронежская обл, Поворинский р-н, Вихляевка с., Пролетарская ул., дом 88;5554177
15309029;396659, Воронежская обл, Россошанский р-н, Россошь г., Карла Маркса ул., дом 149;6090305
9264844;397355, Воронежская обл, Поворинский р-н, Поворино г., Кирова ул., дом 25;5705359
33582646;396651, Воронежская обл, Россошанский р-н, Россошь г., Кооперативная ул., дом 8;6246673
22069112;396020, Воронежская обл, Рамонский р-н, Рамонь рп., С.Паринова ул., дом 23;5471216
44364830;392506, Тамбовская обл, Тамбовский р-н, Черняное с., Заречная ул., дом 1;6110330
22799546;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Ленина ул., дом 196;5515810
4740468;396659, Воронежская обл, Россошанский р-н, Россошь г., Жукова ул., дом 21;5492014
33842654;396651, Воронежская обл, Россошанский р-н, Россошь г., Крупской ул., дом 20;6261032
15354717;396659, Воронежская обл, Россошанский р-н, Россошь г., Карла Маркса ул., дом 152;6090305
24981694;397340, Воронежская обл, Поворинский р-н, Пески с., Шалаева ул., дом 72;5652876
13116384;243240, Брянская обл, Стародуб г., Кооперативная ул., дом 41;5947076
26443013;396651, Воронежская обл, Россошанский р-н, Россошь г., Олега Кошевого ул., дом 13А;5734343
21398013;396650, Воронежская обл, Россошанский р-н, Россошь г., Рябцева ул., дом 35;5406601
21245705;601278, Владимирская обл, Суздальский р-н, Раменье д., Центральная ул., дом 31;5410611
13733707;397340, Воронежская обл, Поворинский р-н, Пески с., Юбилейная ул., дом 21;5980192
17555954;396653, Воронежская обл, Россошанский р-н, Россошь г., Деповская ул., дом 91;6232955
290130;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Космонавтов ул., дом 1;5670717
22129713;396020, Воронежская обл, Рамонский р-н, Рамонь рп., С.Паринова ул., дом 41;5471216
22883008;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Ленина ул., дом 55;5515810
36123064;396660, Воронежская обл, Россошанский р-н, Россошь г., Ворошилова ул., дом 44;5449146
27262543;396653, Воронежская обл, Россошанский р-н, Россошь г., Транспортная ул., дом 33;5791377
36236486;396660, Воронежская обл, Россошанский р-н, Россошь г., Ворошилова ул., дом 10;5449146
16434325;397342, Воронежская обл, Поворинский р-н, Пески с., Трудовая ул., дом 223;6165696
30322460;396650, Воронежская обл, Россошанский р-н, Россошь г., Январская ул., дом 92;5990603
21338435;600007, Владимирская обл, Владимир г., Усти-на-Лабе ул., дом 32/16;5405922
36159262;396020, Воронежская обл, Рамонский р-н, Рамонь рп., 50 лет Октября ул., дом 1А;5457083
15358897;396659, Воронежская обл, Россошанский р-н, Россошь г., Карла Маркса ул., дом 34А;6090305
26157673;396659, Воронежская обл, Россошанский р-н, Россошь г., Крамского пер., дом 9;5720138
13719582;397317, Воронежская обл, Поворинский р-н, Вихляевка с., Советская ул., дом 23;5995674
13483661;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Механизаторов ул., дом 38;5985614
30372705;396650, Воронежская обл, Россошанский р-н, Россошь г., Январская ул., дом 76;5990603
21302041;396651, Воронежская обл, Россошанский р-н, Россошь г., Донская ул., дом 43;5406668
31353304;396651, Воронежская обл, Россошанский р-н, Россошь г., Красина ул., дом 19;6047311
10784556;396653, Воронежская обл, Россошанский р-н, Россошь г., Сергея Лазо ул., дом 30;5805523
8514004;242821, Брянская обл, Клетнянский р-н, Клетня пгт., Колхозный пер., дом 4;5672452
34708517;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Пятницкого ул., дом 78;6185162
32972097;396659, Воронежская обл, Россошанский р-н, Россошь г., Народный пер., дом 13;6204528
766270;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Газовая ул., дом 9;5556642
30773273;397350, Воронежская обл, Поворинский р-н, Поворино г., Маяковского ул., дом 17;6019066
29831913;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Некрасова пер., дом 10;5971354
11380536;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Больничный пер., дом 23;5843607
22794751;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Ленина ул., дом 25;5515810
34785328;397355, Воронежская обл, Поворинский р-н, Поворино г., Лесная ул., дом 16;6175575
8109366;396656, Воронежская обл, Россошанский р-н, Россошь г., Черкасская ул., дом 27;5634525
13798142;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Шолохова ул., дом 13;5999651
29013220;397350, Воронежская обл, Поворинский р-н, Поворино г., Молодежная ул., дом 7;5904808
7075504;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Пионерская ул., дом 23;5570845
1113286;396650, Воронежская обл, Россошанский р-н, Россошь г., Январская ул., дом 15;5990603
8147837;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Зеленая ул., дом 34;5642216
17605780;396653, Воронежская обл, Россошанский р-н, Россошь г., Деповская ул., дом 22;6232955
28059732;396650, Воронежская обл, Россошанский р-н, Россошь г., Чехова ул., дом 21;5848627
34438215;397355, Воронежская обл, Поворинский р-н, Поворино г., Первомайская ул., дом 9;6161803
6461086;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Асеева ул., дом 24;5528204
746145;243240, Брянская обл, Стародуб г., Горького пер., дом 3;6175304
6557367;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Мосина ул., дом 7;5542488
34632223;396658, Воронежская обл, Россошанский р-н, Россошь г., Гастелло ул., дом 23;6175657
24844621;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Октябрьская ул., дом 85а;5643964
33625055;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Московская ул., дом 15;6256328
22103499;396655, Воронежская обл, Россошанский р-н, Россошь г., Февральская ул., дом 260;5463437
16393283;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Полевая ул., дом 41;6154957
852141;397354, Воронежская обл, Поворинский р-н, Поворино г., 18 Партсъезда ул., дом 28;5919238
6913464;396651, Воронежская обл, Россошанский р-н, Россошь г., Слесарная ул., дом 14;5548982
43765537;399561, Липецкая обл, Тербунский р-н, Нагорное с., Светошинская ул., дом 18;5844277
285557;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Космонавтов ул., дом 43;5670717
26375606;243240, Брянская обл, Стародуб г., Новгород-Северская ул., дом 1;5733831
31281543;396655, Воронежская обл, Россошанский р-н, Россошь г., Красина ул., дом 50;6047311
30275177;396650, Воронежская обл, Россошанский р-н, Россошь г., Январская ул., дом 102;5990603
6862525;396655, Воронежская обл, Россошанский р-н, Россошь г., Слесарная ул., дом 96;5548982
24942028;397340, Воронежская обл, Поворинский р-н, Пески с., Шалаева ул., дом 32;5652876
27844553;396388, Воронежская обл, Репьевский р-н, Россошки с., Набережная ул., дом 27;5836087
16953472;397341, Воронежская обл, Поворинский р-н, Пески с., Первомайская ул., дом 90;6194139
6688180;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Газовая ул., дом 36;5556642
8691249;396650, Воронежская обл, Россошанский р-н, Россошь г., Куйбышева ул., дом 43;5662977
10446922;243240, Брянская обл, Стародуб г., Комарова ул., дом 62;5776307
10564888;243240, Брянская обл, Стародуб г., Комарова ул., дом 45;5776307
44382803;155030, Ивановская обл, Тейковский р-н, Кибергино с., Центральная ул., дом 26;6237445
32240943;243240, Брянская обл, Стародуб г., Краснооктябрьская ул., дом 36А;6118301
44338854;241543, Брянская обл, Брянский р-н, Малое Полпино с., Комсомольская ул., дом 64;6067396
22087442;396020, Воронежская обл, Рамонский р-н, Рамонь рп., С.Паринова ул., дом 20;5471216
13580504;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Механизаторов ул., дом 21;5985614
22126028;396650, Воронежская обл, Россошанский р-н, Россошь г., Февральская ул., дом 88;5463437
26205125;242820, Брянская обл, Клетнянский р-н, Клетня пгт., 8 Марта ул., дом 31;5729583
22894551;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Ленина ул., дом 200;5515810
26225477;242820, Брянская обл, Клетнянский р-н, Клетня пгт., 8 Марта ул., дом 66;5729583
22868757;396653, Воронежская обл, Россошанский р-н, Россошь г., Толбухина ул., дом 68;5506422
24539180;242610, Брянская обл, Фокино г., Свердлова ул., дом 28;5620657
22884042;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Ленина ул., дом 32;5515810
43770905;399561, Липецкая обл, Тербунский р-н, Нагорное с., Светошинская ул., дом 8;5844277
30607723;243240, Брянская обл, Стародуб г., Московская ул., дом 6;6018277
44383884;396946, Воронежская обл, Семилукский р-н, Медвежье с., Лесная ул., дом 43;5924427
34500980;397355, Воронежская обл, Поворинский р-н, Поворино г., Первомайская ул., дом 52;6161803
15324284;396659, Воронежская обл, Россошанский р-н, Россошь г., Карла Маркса ул., дом 187;6090305
45766;397341, Воронежская обл, Поворинский р-н, Пески с., Первомайская ул., дом 23;6194139
9688867;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Горького ул., дом 40;5743669
23450340;397317, Воронежская обл, Поворинский р-н, Вихляевка с., Пролетарская ул., дом 54;5554177
36131772;396020, Воронежская обл, Рамонский р-н, Рамонь рп., 50 лет Октября ул., дом 18;5457083
23472076;397317, Воронежская обл, Поворинский р-н, Вихляевка с., Пролетарская ул., дом 10;5554177
26202263;243240, Брянская обл, Стародуб г., Молодежная ул., дом 11;5491495
4131928;396650, Воронежская обл, Россошанский р-н, Россошь г., Февральская ул., дом 105;5463437
33785533;396659, Воронежская обл, Россошанский р-н, Россошь г., Подгорная ул., дом 4Б;6260953
16398809;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Полевая ул., дом 23;6154957
31319477;397355, Воронежская обл, Поворинский р-н, Поворино г., Ломоносова ул., дом 1;6061428
6599268;242611, Брянская обл, Фокино г., Лермонтова ул., дом 2;5535243
32671470;397350, Воронежская обл, Поворинский р-н, Поворино г., Садовая ул., дом 8;6147490
32222013;243240, Брянская обл, Стародуб г., Краснооктябрьская ул., дом 9;6118301
26129529;243240, Брянская обл, Стародуб г., Вокзальный пер., дом 5;5719704
25327699;397340, Воронежская обл, Поворинский р-н, Пески с., Ленинская ул., дом 57;5667167
44090383;397706, Воронежская обл, Бобровский р-н, Бобров г., Мира ул., дом 1а;5407034
7879817;243240, Брянская обл, Стародуб г., Новый пер., дом 3;5605639
33533887;396658, Воронежская обл, Россошанский р-н, Россошь г., Брикетный пер., дом 1;6246600
24856408;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Октябрьская ул., дом 10;5643964
10493913;243240, Брянская обл, Стародуб г., Комарова ул., дом 21;5776307
15056092;242610, Брянская обл, Фокино г., Кирова ул., дом 17;6076106
30735964;397350, Воронежская обл, Поворинский р-н, Поворино г., Маяковского ул., дом 53;6019066
7795872;397350, Воронежская обл, Поворинский р-н, Поворино г., Пионерская ул., дом 31;5605943
16421979;397342, Воронежская обл, Поворинский р-н, Пески с., Трудовая ул., дом 181;6165696
32644592;396021, Воронежская обл, Рамонский р-н, Рамонь рп., Пристанционная ул., дом 1б;6140661
4239536;396653, Воронежская обл, Россошанский р-н, Россошь г., Юбилейная ул., дом 7;5975703
8147403;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Зеленая ул., дом 13;5642216
9124588;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Фурманова ул., дом 16;5700936
43770570;399560, Липецкая обл, Тербунский р-н, Васильевка д., 8 Марта ул., дом 15;5783094
26060580;243240, Брянская обл, Стародуб г., Пионерская ул., дом 9;5719574
30279276;396650, Воронежская обл, Россошанский р-н, Россошь г., Январская ул., дом 78;5990603
17913488;397691, Воронежская обл, Петропавловский р-н, Красноселовка с., Луговая ул., дом 16;6249271
1020368;396659, Воронежская обл, Россошанский р-н, Россошь г., Березовая ул., дом 2;5577297
15748714;243240, Брянская обл, Стародуб г., Грибоедова ул., дом 40А;6118299
33879190;396660, Воронежская обл, Россошанский р-н, Россошь г., Крупской ул., дом 79;6261032
33567545;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Московская ул., дом 37;6256328
13259217;243240, Брянская обл, Стародуб г., Кооперативная ул., дом 51;5947076
44327455;155030, Ивановская обл, Тейковский р-н, Кибергино с., Центральная ул., дом 126;6237445
16301800;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Полевая ул., дом 17;6154957
13661186;397340, Воронежская обл, Поворинский р-н, Пески с., Юбилейная ул., дом 88;5980192
44350003;392506, Тамбовская обл, Тамбовский р-н, Черняное с., Заречная ул., дом 8;6110330
6390209;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Асеева ул., дом 7;5528204
10334742;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Чкалова ул., дом 1;5771979
33775433;396659, Воронежская обл, Россошанский р-н, Россошь г., Молодогвардейцев ул., дом 6;6261187
34432416;397350, Воронежская обл, Поворинский р-н, Поворино г., Первомайская ул., дом 48;6161803
44315513;396946, Воронежская обл, Семилукский р-н, Медвежье с., Лесная ул., дом 14;5924427
22139754;243240, Брянская обл, Стародуб г., Клинцовская ул., дом 44;5463020
16531909;396659, Воронежская обл, Россошанский р-н, Россошь г., Герцена ул., дом 5;6161363
7589114;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Связистов пер., дом 12;5599350
16529481;397342, Воронежская обл, Поворинский р-н, Пески с., Трудовая ул., дом 239;6165696
15458878;397691, Воронежская обл, Петропавловский р-н, Красноселовка с., Ленина ул., дом 31;6092437
32289482;243240, Брянская обл, Стародуб г., Совхозный пер., дом 17;6118450
15346360;396659, Воронежская обл, Россошанский р-н, Россошь г., Карла Маркса ул., дом 51;6090305
15409936;396659, Воронежская обл, Россошанский р-н, Россошь г., Карла Маркса ул., дом 89А;6090305
44319063;301801, Тульская обл, Богородицкий р-н, Богородицк г., Жданковский мкр., Центральная ул., дом 2;5655953
10690928;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Советская ул., дом 56а;5800584
28910688;397350, Воронежская обл, Поворинский р-н, Поворино г., Молодежная ул., дом 2А;5904808
8685187;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Космонавтов ул., дом 70;5670717
16801962;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Профинтерна ул., дом 73;6199514
15787479;243240, Брянская обл, Стародуб г., Красноармейская ул., дом 27;6118300
44320019;396700, Воронежская обл, Кантемировский р-н, Митрофановка с., Октябрьская ул., дом 111;5423714
33959192;396651, Воронежская обл, Россошанский р-н, Россошь г., Милованова ул., дом 21;6275208
8694264;396655, Воронежская обл, Россошанский р-н, Россошь г., Песочный пер., дом 2В;5662976
17611612;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Есенина ул., дом 20;6241052
15271798;396659, Воронежская обл, Россошанский р-н, Россошь г., Карла Маркса ул., дом 167;6090305
16017352;243240, Брянская обл, Стародуб г., Коммунальный пер., дом 1;6132701
44358963;391170, Рязанская обл, Старожиловский р-н, Старожилово рп., Трудовая ул., дом 15;6062411
8221149;243240, Брянская обл, Стародуб г., 1-й Строителей проезд, дом 6;5634077
8677824;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Космонавтов ул., дом 71;5670717
44352267;393070, Тамбовская обл, Петровский р-н, Петровское с., Юбилейная ул., дом 9;5444358
7542766;396020, Воронежская обл, Рамонский р-н, Рамонь рп., Связистов пер., дом 1;5599350
14087775;243240, Брянская обл, Стародуб г., Луначарского ул., дом 11;6004024
13366885;243240, Брянская обл, Стародуб г., Кабанова пер., дом 9;5961597
13683035;397317, Воронежская обл, Поворинский р-н, Вихляевка с., Советская ул., дом 31;5995674
22832502;242820, Брянская обл, Клетнянский р-н, Клетня пгт., Ленина ул., дом 63;5515810
14509490;396659, Воронежская обл, Россошанский р-н, Россошь г., Фестивальная ул., дом 20;6033108
